,Symbol,Company Name,Industry,Prior Close,% 5 Day Chg_x,% 4 Week Chg_x,% 52 Week Chg,Mkt Cap,Refinitiv,Argus Analyst,Argus A6 Quantitative,MarketEdge,Morgan Stanley,SmartConsensus,Thomson Reuters Consensus,TipRanks Analyst Consensus,TipRanks Blogger Sentiment,% 5 Day Chg_y,% 4 Week Chg_y,% Vs. S&P 500 4 Weeks,% Vs. S&P 500 13 Weeks,% Vs. S&P 500 52 Weeks,Beta,P/E Ratio (TTM)*,PEG Ratio,Price/Sales Ratio,Price/Book Ratio,Price/Cash Flow Ratio,Debt to Capital Ratio,% Return on Equity,% Return on Assets,% EPS Growth CFY*,% EPS Growth NFY*,% Revenue Growth CFY*,% Revenue Growth NFY*,% Dividend Yield,% Dividend Growth 5 Year
28,AWK,American Water Works Co Inc,Water Utilities,143.14,-0.004,-0.03,0.1,$27.914B,0,1,0,-1,0,0.0,2.9,0,-1,-0.004,-0.03,-0.0784,0.0489,0.0,-0.17,26.06,3.17829,5.8,2.65,14.79,57.81,0.1043,0.0333,0.0774,0.0736,0.0725,0.06280000000000001,0.0231,0.08960000000000001
29,AMP,"Ameriprise Financial, Inc.",Investment Banking & Investment Services,517.49,-0.0091,0.07,0.17,$49.277B,1,1,1,1,0,1.0,2.2,1,-1,-0.0091,0.07,0.0304,-0.003,0.0513,1.18,17.6,1.58494,2.73,9.11,0.0,88.52,0.5811,0.0167,0.0696,0.07730000000000001,0.0275,0.0492,0.0124,0.0873
30,AME,Ametek Inc,"Machinery, Equipment & Components",180.81,-0.0059,0.07,0.03,$41.745B,1,0,0,1,0,0.0,2.3,1,-1,-0.0059,0.07,0.011899999999999999,-0.0273,-0.0673,0.84,29.61,3.61097,6.02,4.19,23.09,16.23,0.1496,0.0953,0.0351,0.0736,0.0155,0.0464,0.0069,0.1487
31,AMGN,Amgen Inc,Pharmaceuticals,279.45,0.0131,-0.03,-0.11,$150.262B,0,1,1,-1,0,0.0,2.5,1,-1,0.0131,-0.03,-0.0906,-0.1096,-0.1815,0.39,25.5,3.23726,4.4,24.21,13.03,90.24,1.0567,0.06509999999999999,0.0529,0.0287,0.0562,0.0169,0.0341,0.09179999999999999
32,APH,Amphenol Corp,Electronic Equipment & Parts,88.33,0.0222,0.12,0.25,$106.844B,0,0,1,1,0,1.0,2.2,1,-1,0.0222,0.12,0.0818,0.3664,0.1616,1.32,42.8,8.91738,6.37,10.37,32.0,40.86,0.2753,0.1329,0.40740000000000004,0.1015,0.32939999999999997,0.07769999999999999,0.0075,0.1804
33,ADI,Analog Devices Inc,Semiconductors & Semiconductor Equipment ,216.89,-0.0341,0.09,-0.1,$107.631B,0,1,0,1,1,1.0,2.1,1,-1,-0.0341,0.09,0.0571,-0.073,-0.1643,1.63,59.17,9.06173,10.96,3.07,27.64,17.05,0.052000000000000005,0.038,0.15990000000000001,0.18780000000000002,0.1244,0.1167,0.0183,0.1151
34,ANSS,ANSYS Inc,Software & IT Services,348.23,0.0124,0.09,0.05,$30.615B,0,0,0,1,0,1.0,2.8,0,-1,0.0124,0.09,0.0225,0.06,-0.057800000000000004,0.9,51.69,7.27977,11.85,4.95,41.52,10.88,0.1023,0.0784,0.077,0.09789999999999999,0.0949,0.0998,0.0,0.0
35,AON,Aon PLC,Insurance,365.06,0.0003,-0.03,0.27,$78.831B,0,0,1,-1,0,-1.0,2.6,1,-1,0.0003,-0.03,-0.0202,-0.0765,0.1649,0.38,31.1,2.5963,4.82,11.26,22.65,70.79,0.7417,0.057300000000000004,0.0801,0.1282,0.0992,0.064,0.008199999999999999,0.0895
36,APA,APA Corp (US),Oil & Gas,17.31,-0.0003,0.03,-0.43,$6.246B,0,0,1,-1,-1,0.0,2.9,0,-1,-0.0003,0.03,0.001,-0.22210000000000002,-0.4718,1.76,6.26,-0.15098,0.6,1.15,1.64,45.37,0.2534,0.0791,-0.20420000000000002,-0.07,-0.016200000000000003,-0.0279,0.057800000000000004,0.0
37,APO^A10,Apollo Global Management Inc,Collective Investments ,133.17,-0.0662,-0.02,0.16,$76.106B,0,1,0,1,0,1.0,2.0,1,-1,-0.0662,-0.02,-0.0908,-0.0783,0.0327,1.77,23.55,2.0703,3.44,4.58,11.54,29.67,0.225,0.0152,0.0458,0.2059,-0.2884,0.1857,0.015300000000000001,-0.0209
38,AAPL,Apple Inc,"Computers, Phones & Household Electronics",200.21,-0.040999999999999995,-0.03,0.08,$2.990T,0,1,1,0,1,0.0,2.2,1,-1,-0.040999999999999995,-0.03,-0.10980000000000001,-0.185,-0.0559,1.33,28.28,2.80429,7.47,44.78,25.12,59.51,1.5255,0.32170000000000004,0.0622,0.0851,0.0408,0.055999999999999994,0.0052,0.055
39,AMAT,Applied Materials Inc,Semiconductors & Semiconductor Equipment ,161.83,-0.0248,0.07,-0.26,$129.868B,1,1,0,1,-1,1.0,2.1,1,-1,-0.0248,0.07,0.016200000000000003,-0.0168,-0.34369999999999995,1.56,19.71,2.3126,4.62,6.85,18.11,24.82,0.36369999999999997,0.2061,0.096,0.0654,0.0592,0.0571,0.011399999999999999,0.1192
40,APTV,Aptiv PLC,Automobiles & Auto Parts,68.40,0.015700000000000002,0.22,-0.17,$14.893B,1,1,0,1,-1,1.0,2.1,1,-1,0.015700000000000002,0.22,0.1142,0.0321,-0.2577,1.12,11.33,1.25492,0.76,1.71,5.71,46.01,0.1552,0.0699,0.1294,0.1061,-0.0044,0.0425,0.0,0.0
41,ACGL,Arch Capital Group Ltd,Insurance,94.62,-0.005699999999999999,0.0,-0.1,$35.459B,1,0,0,1,1,1.0,2.0,1,-1,-0.005699999999999999,0.0,-0.0382,0.053200000000000004,-0.1376,0.55,9.71,0.83496,1.99,1.72,9.27,11.24,0.18989999999999999,0.052300000000000006,-0.1563,0.1928,0.1186,0.0633,0.0,0.0
42,ADM,Archer-Daniels-Midland Co,Food & Tobacco,48.63,-0.0276,-0.02,-0.21,$23.364B,0,0,0,1,0,0.0,3.1,-1,-1,-0.0276,-0.02,-0.044199999999999996,0.003,-0.2798,0.43,17.29,0,0.28,1.06,9.35,33.08,0.0603,0.025,-0.1582,0.1303,-0.013500000000000002,0.0273,0.04190000000000001,0.0739
43,ANET,Arista Networks Inc,Communications & Networking,92.49,-0.0435,0.23,0.23,$116.160B,1,1,1,1,1,1.0,1.9,1,-1,-0.0435,0.23,0.0759,0.0015,0.08109999999999999,1.64,39.13,4.29194,15.62,11.49,37.61,0.0,0.3368,0.2416,0.1278,0.1602,0.1945,0.1746,0.0,0.0
44,AJG,Arthur J. Gallagher & Co.,Insurance,342.75,-0.0031,0.01,0.34,$87.778B,0,1,1,-1,0,0.0,2.3,1,-1,-0.0031,0.01,0.0149,0.0388,0.2182,0.38,52.7,4.82673,7.3,3.93,35.76,36.93,0.09269999999999999,0.0232,0.1011,0.225,0.23329999999999998,0.2291,0.0076,0.0669
45,AIZ,Assurant Inc,Insurance,201.00,-0.012,0.0,0.16,$10.191B,0,0,1,0,0,0.0,2.1,1,-1,-0.012,0.0,-0.0278,-0.0225,0.0655,0.74,15.68,0,0.84,1.95,11.53,28.47,0.132,0.0197,-0.011399999999999999,0.18420000000000003,0.0584,0.0449,0.0159,0.04019999999999999
46,T,AT&T Inc,Telecommunications Services,27.39,-0.0225,-0.01,0.56,$197.088B,1,1,0,-1,1,0.0,2.1,1,-1,-0.0225,-0.01,-0.057800000000000004,0.0336,0.4021,0.2,16.81,4.04497,1.6,1.9,5.84,50.87,0.1128,0.0331,-0.0929,0.08779999999999999,0.0155,0.0134,0.0405,-0.11460000000000001
47,ATO,Atmos Energy Corp,Natural Gas Utilities,156.49,-0.0218,-0.03,0.36,$24.856B,0,1,1,1,1,1.0,2.4,1,-1,-0.0218,-0.03,-0.0797,0.04650000000000001,0.24489999999999998,0.19,21.76,3.02284,5.54,1.89,13.5,39.3,0.09179999999999999,0.0446,0.058600000000000006,0.0775,0.1215,0.1293,0.0222,0.0892
48,ADSK,Autodesk Inc,Software & IT Services,300.36,0.0151,0.09,0.37,$63.977B,0,1,0,1,1,1.0,2.0,1,-1,0.0151,0.09,0.0336,0.0647,0.2521,0.97,64.36,0.79531,10.12,24.55,53.55,46.65,0.4236,0.09910000000000001,0.1358,0.14859999999999998,0.1356,0.1125,0.0,0.0
49,ADP,Automatic Data Processing Inc,Software & IT Services,325.71,0.0085,0.09,0.28,$132.213B,0,1,1,1,0,1.0,2.8,0,-1,0.0085,0.09,0.0341,0.0453,0.1723,0.59,33.34,2.38157,6.54,22.6,29.08,40.49,0.7629,0.0663,0.08710000000000001,0.0902,0.0666,0.0559,0.0189,0.12359999999999999
50,AZO,Autozone Inc,Other Specialty Retailers,"3,695.66",-0.0475,0.07,0.39,$61.825B,1,0,0,1,1,0.0,1.9,1,-1,-0.0475,0.07,-0.0633,0.085,0.18539999999999998,0.27,24.96,2.27949,3.27,0.0,19.6,0.0,0.0,0.0,-0.0055000000000000005,0.1333,0.0208,0.0658,0.0,0.0
51,AVB,AvalonBay Communities Inc,Residential & Commercial REITs,201.46,-0.034300000000000004,-0.03,0.03,$28.681B,0,1,-1,0,0,1.0,2.5,1,-1,-0.034300000000000004,-0.03,-0.0868,-0.094,-0.0761,0.67,25.07,4.55899,9.73,2.41,14.36,41.12,0.0967,0.0547,-0.24739999999999998,0.0,0.0466,0.052000000000000005,0.0347,0.0062
52,AVY,Avery Dennison Corp,Containers & Packaging,181.35,-0.0121,0.04,-0.21,$14.177B,0,0,0,0,0,0.0,2.4,1,0,-0.0121,0.04,-0.0083,-0.021400000000000002,-0.2845,0.57,20.85,1.97308,1.62,6.56,14.01,61.45,0.3195,0.08410000000000001,0.0223,0.11410000000000001,0.010700000000000001,0.0397,0.0207,0.0883
53,AXON,Axon Enterprise Inc,Aerospace & Defense,746.08,0.0051,0.14,1.91,$58.083B,1,1,0,1,1,1.0,1.9,1,-1,0.0051,0.14,0.1465,0.5108,1.34,1.03,181.27,6.0422,26.09,22.72,146.54,43.98,0.1517,0.0684,0.0286,0.23079999999999998,0.2757,0.2253,0.0,0.0
54,BKR,Baker Hughes Co,Oil & Gas Related Equipment and Services,37.23,-0.0179,0.01,0.15,$36.886B,0,1,0,-1,1,0.0,1.9,1,-1,-0.0179,0.01,-0.026699999999999998,-0.14980000000000002,0.030299999999999997,1.18,12.73,0.3669,1.33,2.16,9.01,25.93,0.1804,0.0785,0.0213,0.1417,-0.0287,0.0359,0.024700000000000003,0.0313
55,BALL,Ball Corp,Containers & Packaging,53.36,-0.0179,0.06,-0.22,$14.803B,1,0,0,1,1,0.0,2.3,1,-1,-0.0179,0.06,-0.0435,0.04019999999999999,-0.306,0.52,30.37,1.90763,1.23,2.71,13.37,54.67,0.0823,0.026600000000000002,0.1167,0.12990000000000002,0.031,0.028399999999999998,0.015,0.07780000000000001
56,BAC,Bank of America Corp,Banking Services,44.22,-0.0123,0.09,0.11,$333.060B,1,1,1,1,1,1.0,1.9,1,-1,-0.0123,0.09,0.0384,0.0121,-0.0022,1.0,13.2,1.78273,3.22,1.22,11.66,0.0,0.09759999999999999,0.0084,0.1094,0.1699,0.059800000000000006,0.054400000000000004,0.0235,0.0867
57,BK,Bank of New York Mellon Corp,Investment Banking & Investment Services,90.23,-0.0011,0.13,0.53,$64.554B,1,1,1,1,1,1.0,2.2,1,-1,-0.0011,0.13,0.058600000000000006,0.046,0.3679,0.95,14.71,3.05939,3.42,1.71,10.2,0.0,0.1225,0.0108,0.126,0.1208,0.032,0.0318,0.0208,0.0857
58,BAX,Baxter International Inc,Healthcare Equipment & Supplies,30.87,-0.0191,0.0,-0.11,$15.842B,0,1,1,0,-1,0.0,2.7,1,-1,-0.0191,0.0,-0.0642,-0.1362,-0.18420000000000003,0.82,0.0,0,1.47,2.24,22.47,58.82,-0.0363,-0.0109,0.3333,0.0794,0.0699,0.0418,0.022000000000000002,0.0412
59,BDX,Becton Dickinson and Co,Healthcare Equipment & Supplies,174.51,-0.0143,-0.16,-0.25,$50.108B,0,1,1,-1,1,0.0,2.5,1,-1,-0.0143,-0.16,-0.20620000000000002,-0.2371,-0.31670000000000004,0.48,33.79,3.53236,2.4,1.98,12.93,43.29,0.058899999999999994,0.0276,0.0799,0.0317,0.0786,0.048799999999999996,0.023799999999999998,0.0429
60,BRK/A,Berkshire Hathaway Inc,Consumer Goods Conglomerates,"760,100.00",-0.009300000000000001,-0.05,0.24,$412.734B,1,0,0,0,0,0.0,2.7,0,-1,-0.009300000000000001,-0.05,-0.1092,0.0192,0.1056,0.55,13.5,0,2.95,1.68,11.61,16.09,0.132,0.0729,-0.0843,0.042800000000000005,0.0178,0.0509,0.0,0.0
61,BBY,Best Buy Co Inc,Other Specialty Retailers,72.22,0.0087,0.07,0.02,$15.265B,0,0,0,0,0,0.0,2.6,1,-1,0.0087,0.07,0.0171,-0.1938,-0.0951,1.36,16.88,2.59749,0.37,5.44,8.55,29.13,0.31629999999999997,0.0621,-0.0377,0.0946,-0.0022,0.0182,0.0526,0.1391
62,TECH,BIO-TECHNE Corp,Biotechnology & Medical Research,48.69,-0.012,-0.07,-0.41,$7.633B,-1,1,1,0,0,0.0,2.2,1,-1,-0.012,-0.07,-0.0946,-0.2375,-0.46009999999999995,1.19,59.35,5.39544,6.31,3.78,31.47,14.05,0.0653,0.049100000000000005,0.08470000000000001,0.0833,0.0499,0.058600000000000006,0.0066,0.0
63,BIIB,Biogen Inc,Pharmaceuticals,128.39,-0.008100000000000001,0.06,-0.42,$18.813B,0,0,0,0,0,0.0,2.4,1,-1,-0.008100000000000001,0.06,0.0033,-0.1,-0.4719,0.6,12.68,2.4524,1.92,1.11,8.52,27.06,0.0919,0.0542,-0.0917,0.0348,-0.042,-0.0182,0.0,0.0
64,BLK,BlackRock Inc,Investment Banking & Investment Services,981.32,-0.0124,0.06,0.24,$145.361B,0,1,1,1,1,1.0,1.9,1,-1,-0.0124,0.06,0.0011,0.0302,0.1243,1.13,23.84,3.31047,7.26,3.17,21.67,19.75,0.1437,0.0482,0.0,0.0,0.0,0.0,0.0212,0.091
65,BX,Blackstone Inc,Investment Banking & Investment Services,139.30,-0.042300000000000004,0.02,0.11,$101.640B,-1,1,1,1,1,1.0,2.4,1,-1,-0.042300000000000004,0.02,-0.0204,-0.109,0.009300000000000001,1.61,42.14,3.03926,13.17,12.88,32.62,38.54,0.3407,0.1189,0.0453,0.3196,0.039599999999999996,0.28850000000000003,0.0291,0.0518
66,BA,Boeing Co,Aerospace & Defense,201.03,-0.0206,0.15,0.18,$151.578B,0,0,-1,1,0,0.0,2.1,1,-1,-0.0206,0.15,0.0373,0.1341,0.0319,1.26,0.0,0,2.18,0.0,0.0,106.61,0.0,-0.0791,0.9195,0.0,0.26039999999999996,0.1718,0.0,0.0
67,BKNG,Booking Holdings Inc,Hotels & Entertainment Services,"5,451.74",0.0137,0.11,0.42,$177.400B,1,1,1,1,0,1.0,2.1,1,-1,0.0137,0.11,0.0429,0.0892,0.2868,1.03,33.92,2.82635,7.37,0.0,29.34,161.66,0.0,0.1981,0.14800000000000002,0.1477,0.0866,0.08070000000000001,0.006999999999999999,0.0
68,BSX,Boston Scientific Corp,Healthcare Equipment & Supplies,106.17,-0.0046,0.03,0.4,$157.073B,0,1,1,1,1,1.0,1.8,1,-1,-0.0046,0.03,-0.0296,0.0601,0.2576,0.8,77.83,6.95165,8.95,7.07,47.37,33.5,0.0964,0.0527,0.1594,0.1306,0.16390000000000002,0.1075,0.0,0.0
69,BMY,Bristol-Myers Squibb Co,Pharmaceuticals,46.89,-0.006999999999999999,-0.03,0.13,$95.425B,0,0,1,-1,-1,0.0,2.7,0,-1,-0.006999999999999999,-0.03,-0.1054,-0.18989999999999999,0.018600000000000002,0.3,17.6,1.16968,2.0,5.49,7.06,74.02,0.31989999999999996,0.056799999999999996,4.9826,-0.1105,-0.042800000000000005,-0.07,0.0529,0.0791
70,AVGO,Broadcom Inc,Semiconductors & Semiconductor Equipment ,235.65,0.0218,0.23,0.65,$1.108T,0,1,1,1,1,1.0,1.8,1,-1,0.0218,0.23,0.1576,0.17010000000000003,0.49950000000000006,1.88,109.91,8.26394,20.32,15.88,54.75,48.82,0.1485,0.060599999999999994,0.35109999999999997,0.1793,0.21109999999999998,0.1595,0.01,0.1471
71,BR,Broadridge Financial Solutions Inc,Professional & Commercial Services  ,239.99,-0.0115,0.0,0.18,$28.190B,1,0,0,1,0,0.0,2.7,1,-1,-0.0115,0.0,-0.059699999999999996,0.0192,0.0721,0.66,36.08,0,4.17,11.81,26.08,59.04,0.3392,0.0917,0.0983,0.0895,0.057699999999999994,0.048,0.0147,0.10529999999999999
