,Symbol,Company Name,Industry,Prior Close,% 5 Day Chg_x,% 4 Week Chg_x,% 52 Week Chg,Mkt Cap,Refinitiv,Argus Analyst,Argus A6 Quantitative,MarketEdge,Morgan Stanley,SmartConsensus,Thomson Reuters Consensus,TipRanks Analyst Consensus,TipRanks Blogger Sentiment,% 5 Day Chg_y,% 4 Week Chg_y,% Vs. S&P 500 4 Weeks,% Vs. S&P 500 13 Weeks,% Vs. S&P 500 52 Weeks,Beta,P/E Ratio (TTM)*,PEG Ratio,Price/Sales Ratio,Price/Book Ratio,Price/Cash Flow Ratio,Debt to Capital Ratio,% Return on Equity,% Return on Assets,% EPS Growth CFY*,% EPS Growth NFY*,% Revenue Growth CFY*,% Revenue Growth NFY*,% Dividend Yield,% Dividend Growth 5 Year
21,AZ,A2Z Cust2Mate Solutions Corp,Software & IT Services,9.45,0.015,0.22,8.52,$90.399M,0,0,0,0,0,0.0,0.0,1,0,0.015,0.22,0.2224,0.2706,7.0664,0.4,0.0,0,44.49,10.45,0.0,6.76,-1.3443,-1.0467,0.0,0.0,0.0,0.0,0.0,0.0
22,AAON,Aaon Inc,"Machinery, Equipment & Components",100.19,-0.057999999999999996,0.16,0.31,$8.152B,0,0,0,1,0,0.0,2.1,1,-1,-0.057999999999999996,0.16,0.0559,0.004699999999999999,0.1469,1.52,52.66,0,6.47,9.99,35.9,24.77,0.1985,0.141,0.0693,0.375,0.1857,0.1661,0.004,0.08449999999999999
23,AARD,Aardvark Therapeutics Inc,Biotechnology & Medical Research,9.82,-0.058499999999999996,0.22,0.0,$213.055M,0,0,0,0,1,0.0,1.8,1,0,-0.058499999999999996,0.22,-0.1932,-0.27649999999999997,0.0,0,0.0,0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,ABL,Abacus Global Management Inc,Insurance,8.12,-0.08869999999999999,-0.01,-0.24,$786.446M,-1,0,0,0,0,0.0,2.0,1,-1,-0.08869999999999999,-0.01,-0.0701,0.1437,-0.32020000000000004,0.65,0.0,0,5.84,1.81,0.0,44.98,-0.0603,-0.0296,0.1515,0.2632,0.6371,0.2571,0.0,0.0
25,ABCL,AbCellera Biologics Inc,Biotechnology & Medical Research,1.98,-0.019799999999999998,-0.23,-0.48,$591.000M,-1,0,0,0,0,-1.0,1.9,1,0,-0.019799999999999998,-0.23,-0.2708,-0.2939,-0.5393,1.27,0.0,0,25.57,0.58,0.0,0.0,-0.1559,-0.11960000000000001,-0.2,0.0152,-0.2937,0.6689,0.0,0.0
26,ABEO,Abeona Therapeutics Inc,Pharmaceuticals,6.12,-0.0177,0.22,0.58,$313.081M,-1,0,0,1,0,0.0,1.5,1,-1,-0.0177,0.22,0.08439999999999999,0.1548,0.3504,0.7,0.0,0,0.0,7.24,0.0,31.78,-2.7177999999999995,-0.5073,0.4065,0.0,0.0,3.1526,0.0,0.0
27,ABTS,Abits Group Inc,Software & IT Services,4.21,0.0369,0.4,-0.67,$5.427M,0,0,0,0,0,0.0,0.0,0,0,0.0369,0.4,0.4214,-0.33130000000000004,-0.6132,0.76,0.0,0,1.49,0.96,3.34,0.0,-0.0839,-0.0768,0.0,0.0,0.0,0.0,0.0,0.0
28,ABLV,Able View Global Inc,Other Specialty Retailers,1.14,0.045899999999999996,-0.12,-0.27,$47.710M,0,0,0,0,0,0.0,0.0,0,0,0.045899999999999996,-0.12,-0.1079,0.4954,-0.31920000000000004,2.06,0.0,0,0.44,7.94,0.0,58.88,-0.8018000000000001,-0.1447,0.0,0.0,0.0,0.0,0.0,0.0
29,ABVE,Above Food Ingredients Inc,Food & Tobacco,1.26,-0.0233,1.45,0.0,$35.954M,0,0,0,0,0,0.0,0.0,0,0,-0.0233,1.45,-0.0968,1.5241999999999998,-0.8664000000000001,1.35,0.0,0,0.0,0.34,0.0,4.58,-0.0106,-0.009399999999999999,0.0,0.0,0.0,0.0,0.0,0.0
30,ABP,ABPRO Holdings Inc,Biotechnology & Medical Research,0.21,-0.2107,-0.31,-0.98,$13.051M,0,0,0,0,0,0.0,2.0,1,0,-0.2107,-0.31,-0.2245,-0.685,-0.9826,1.32,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,ABSI,Absci Corp,Biotechnology & Medical Research,2.72,-0.0181,-0.17,-0.39,$346.960M,-1,0,0,0,1,0.0,1.9,1,-1,-0.0181,-0.17,-0.157,-0.3195,-0.42119999999999996,1.95,0.0,0,72.06,1.75,0.0,1.61,-0.48979999999999996,-0.42369999999999997,0.0,0.0,0.0,0.0,0.0,0.0
32,ABVC,ABVC Biopharma Inc,Biotechnology & Medical Research,1.38,0.0,0.33,0.18,$23.147M,0,0,0,0,0,0.0,0.0,0,0,0.0,0.33,0.2582,0.9443,0.3222,0.91,0.0,0,45.53,3.93,0.0,17.06,-0.2746,-0.1515,0.0,0.0,0.0,0.0,0.0,0.0
33,ACIU,AC Immune SA,Biotechnology & Medical Research,1.69,-0.0287,0.02,-0.53,$121.574M,-1,0,0,0,0,0.0,1.3,1,-1,-0.0287,0.02,-0.0664,-0.3387,-0.5722999999999999,0.71,0.0,0,4.96,1.48,0.0,5.18,-0.435,-0.2753,-0.5097999999999999,0.1818,-0.8681,5.3285,0.0,0.0
34,ACTG,Acacia Research Corp,Professional & Commercial Services  ,3.86,0.0239,0.2,-0.34,$371.224M,1,0,0,0,0,0.0,2.0,1,-1,0.0239,0.2,0.15810000000000002,-0.0735,-0.377,0.73,0.0,0,1.67,0.69,12.89,15.81,-0.0209,-0.015300000000000001,0.0,0.0,1.3665,-0.188,0.0,0.0
35,ASO,Academy Sports and Outdoors Inc,Other Specialty Retailers,40.92,-0.0935,0.1,-0.21,$2.742B,0,0,0,0,0,0.0,2.3,1,-1,-0.0935,0.1,0.011200000000000002,-0.19579999999999997,-0.312,1.59,7.11,0,0.46,1.4,5.07,19.51,0.2114,0.0874,0.0,0.0,0.0,0.0,0.0127,0.0
36,ACHC,Acadia Healthcare Company Inc,Healthcare Providers & Services,23.52,-0.0622,0.04,-0.64,$2.167B,0,0,0,0,0,0.0,1.9,1,0,-0.0622,0.04,-0.0118,-0.4415,-0.6686,0.63,11.54,1.81592,0.69,0.7,6.1,40.96,0.0635,0.0334,-0.203,0.11410000000000001,0.0572,0.08560000000000001,0.0,0.0
37,ACAD,ACADIA Pharmaceuticals Inc,Biotechnology & Medical Research,22.19,0.0091,0.45,0.39,$3.714B,0,0,0,1,0,0.0,2.3,1,-1,0.0091,0.45,0.44409999999999994,0.1739,0.3078,0.85,16.18,0,3.73,4.85,15.33,0.0,0.3724,0.2303,0.1458,0.5818,0.1118,0.1063,0.0,0.0
38,ARAY,Accuray Inc,Healthcare Equipment & Supplies,1.64,0.0123,0.03,0.06,$168.941M,-1,0,0,0,0,0.0,1.5,1,-1,0.0123,0.03,-0.0493,-0.18350000000000002,-0.027000000000000003,1.29,256.25,0,0.36,3.4,24.96,77.8,0.0148,0.0014000000000000002,0.9375,-10.0,0.0183,0.0009,0.0,0.0
39,ACHV,Achieve Life Sciences Inc,Biotechnology & Medical Research,3.16,-0.0453,0.24,-0.45,$109.605M,0,0,0,0,0,0.0,1.7,1,0,-0.0453,0.24,0.2262,0.052300000000000006,-0.4767,1.01,0.0,0,0.0,10.66,0.0,48.94,-1.5455,-0.948,-0.0323,-0.0625,0.0,0.0,0.0,0.0
40,ACIW,ACI Worldwide Inc,Financial Technology (Fintech) & Infrastructure,46.59,-0.051500000000000004,-0.11,0.31,$4.908B,0,0,1,0,0,0.0,2.3,1,-1,-0.051500000000000004,-0.11,-0.1825,-0.0733,0.1783,1.1,18.36,0,2.92,3.31,12.72,36.33,0.19690000000000002,0.083,0.22510000000000002,0.0641,0.0698,0.0682,0.0,0.0
41,ACON,Aclarion Inc,Biotechnology & Medical Research,6.88,-0.0404,-0.09,-1.0,$4.004M,-1,0,0,0,0,0.0,2.0,0,0,-0.0404,-0.09,-0.035699999999999996,-0.9207,-0.9978,3.02,0.0,0,73.38,0.25,0.0,0.0,-0.7325,-0.6563,0.0,0.0,0.0,0.0,0.0,0.0
42,ACRS,Aclaris Therapeutics Inc,Biotechnology & Medical Research,1.27,-0.0231,-0.01,0.07,$137.517M,0,0,0,0,0,-1.0,1.8,1,0,-0.0231,-0.01,-0.1033,-0.38,0.025,0.87,0.0,0,7.74,0.95,0.0,0.0,-0.9103,-0.6997,0.6784,-0.1091,-0.6801999999999999,0.1164,0.0,0.0
43,ACMR,ACM Research Inc,Semiconductors & Semiconductor Equipment ,23.29,-0.0026,0.08,0.01,$1.370B,1,0,0,-1,1,-1.0,2.0,1,-1,-0.0026,0.08,0.18100000000000002,0.021,-0.07519999999999999,1.46,14.52,0.72596,1.85,1.57,10.28,16.45,0.12210000000000001,0.07690000000000001,0.0,0.0,0.0,0.0,0.0,0.0
44,ACNB,ACNB Corp,Banking Services,42.27,-0.0432,0.03,0.32,$442.736M,0,0,0,0,0,0.0,1.8,1,-1,-0.0432,0.03,-0.0645,0.0409,0.1837,0.53,14.54,0,3.8,1.15,15.52,0.0,0.07440000000000001,0.0087,0.185,0.0362,0.3942,0.0526,0.0322,0.051500000000000004
45,ACRV,Acrivon Therapeutics Inc,Biotechnology & Medical Research,1.10,-0.0678,-0.42,-0.86,$34.491M,-1,0,0,0,0,0.0,1.8,1,-1,-0.0678,-0.42,-0.2826,-0.8,-0.8759999999999999,1.77,0.0,0,0.0,0.22,0.0,0.0,-0.6241,-0.5642,0.0042,-0.0506,0.0,12.0069,0.0,0.0
46,ASNS,Actelis Networks Inc,Construction & Engineering,0.68,-0.0776,-0.06,0.23,$6.122M,-1,0,0,0,0,0.0,2.0,0,1,-0.0776,-0.06,-0.13949999999999999,-0.2974,0.11449999999999999,1.07,0.0,0,0.79,2.37,0.0,19.25,-9.3363,-0.48210000000000003,0.0,0.0,0.0,0.0,0.0,0.0
47,ACTU,Actuate Therapeutics Inc,Biotechnology & Medical Research,10.31,0.0049,0.12,0.0,$202.282M,0,0,0,0,0,0.0,2.0,1,0,0.0049,0.12,0.057,0.46869999999999995,0.0,0.62,0.0,0,0.0,0.0,0.0,0.0,0.0,-7.0475,0.0,0.0,0.0,0.0,0.0,0.0
48,ABOS,Acumen Pharmaceuticals Inc,Biotechnology & Medical Research,1.02,-0.0467,-0.06,-0.7,$61.784M,-1,0,0,0,0,-1.0,1.4,1,-1,-0.0467,-0.06,-0.0877,-0.2345,-0.7312000000000001,1.05,0.0,0,0.0,0.4,0.0,15.96,-0.5568,-0.46,0.0,0.0,0.0,0.0,0.0,0.0
49,ACXP,Acurx Pharmaceuticals Inc,Biotechnology & Medical Research,0.39,-0.0274,-0.01,-0.85,$9.252M,-1,0,0,0,0,0.0,2.0,1,0,-0.0274,-0.01,-0.11900000000000001,-0.4506,-0.8593999999999999,1.09,0.0,0,0.0,3.82,0.0,0.0,-2.8579000000000003,-1.7068,0.0,0.0,0.0,0.0,0.0,0.0
50,ADAG,Adagene Inc (ADR),Biotechnology & Medical Research,1.91,0.07629999999999999,0.17,-0.42,$112.178M,0,0,0,0,0,0.0,2.7,1,0,0.07629999999999999,0.17,0.2688,-0.046799999999999994,-0.3385,-0.21,0.0,0,869.61,1.78,0.0,26.49,-0.5521,-0.3261,0.0,0.0,0.0,0.0,0.0,0.0
51,ADGM,Adagio Medical Holdings Inc,Healthcare Equipment & Supplies,1.13,-0.0661,0.01,0.0,$17.382M,0,0,0,0,0,0.0,0.0,0,0,-0.0661,0.01,-0.1157,-0.19399999999999998,-0.9109999999999999,-0.29,0.0,0,30.18,1.4,0.0,58.74,0.0,-2.9504,0.0,0.0,0.0,0.0,0.0,0.0
52,AHCO,Adapthealth Corp,Healthcare Equipment & Supplies,9.31,0.0356,0.11,-0.07,$1.256B,0,0,0,-1,0,-1.0,2.0,1,-1,0.0356,0.11,0.044500000000000005,-0.12,-0.1718,0.8,16.11,0.64438,0.39,0.8,2.68,55.96,0.0519,0.020099999999999996,0.0,0.0,0.0,0.0,0.0,0.0
53,ADAP,Adaptimmune Therapeutics PLC - ADR,Biotechnology & Medical Research,0.28,-0.0378,0.03,-0.73,$445.764M,-1,0,0,0,0,0.0,2.5,1,0,-0.0378,0.03,0.0005,-0.5077,-0.7609,1.08,0.0,0,0.41,0.0,0.0,0.0,0.0,-0.336,-0.5333,0.45649999999999996,-0.7193,0.35479999999999995,0.0,0.0
54,ADPT,Adaptive Biotechnologies Corp,Biotechnology & Medical Research,9.14,-0.006500000000000001,0.12,1.56,$1.389B,-1,0,0,1,0,0.0,1.9,1,-1,-0.006500000000000001,0.12,0.12789999999999999,0.0917,1.3802,1.64,0.0,0,7.33,7.29,0.0,41.25,-0.6096,-0.2509,0.22219999999999998,0.2262,0.2255,0.20440000000000003,0.0,0.0
55,ATXG,Addentax Group Corp,Freight & Logistics Services,0.66,0.1353,-0.03,-0.39,$3.992M,0,0,0,0,0,0.0,0.0,0,0,0.1353,-0.03,-0.22460000000000002,-0.3674,-0.4142,-0.1,0.0,0,0.88,0.17,0.0,12.54,-0.0901,-0.04190000000000001,0.0,0.0,0.0,0.0,0.0,0.0
56,ADXN,Addex Therapeutics Ltd - ADR,Biotechnology & Medical Research,8.40,-0.0118,0.16,-0.07,$12.902M,0,0,0,0,0,0.0,2.0,0,0,-0.0118,0.16,0.0258,0.049400000000000006,-0.0605,0.94,0.0,0,13.54,0.59,0.0,0.43,-0.8339,-0.5891,0.0,0.0,0.0,0.0,0.0,0.0
57,ADUS,Addus Homecare Corporation,Healthcare Providers & Services,115.63,0.0409,0.12,0.02,$2.127B,1,0,1,1,0,1.0,1.8,1,-1,0.0409,0.12,0.0557,0.1923,-0.0719,0.34,26.13,1.742,1.76,2.14,22.88,16.64,0.09179999999999999,0.0652,0.1578,0.10339999999999999,0.2072,0.0581,0.0,0.0
58,ADEA,Adeia Inc,Software & IT Services,12.97,-0.0335,0.06,0.1,$1.407B,0,0,1,-1,0,-1.0,2.0,1,-1,-0.0335,0.06,-0.0256,-0.20170000000000002,-0.015300000000000001,1.2,19.45,1.29657,3.7,3.61,10.11,54.11,0.2043,0.0697,0.0,0.0,0.0,0.0,0.0154,-0.2421
59,ADIL,Adial Pharmaceuticals Inc,Biotechnology & Medical Research,0.67,-0.0429,0.01,-0.42,$4.405M,-1,0,0,0,0,0.0,2.3,1,-1,-0.0429,0.01,-0.0832,-0.2699,-0.5197999999999999,0.44,0.0,0,0.0,2.09,0.0,0.0,-2.1700999999999997,-1.766,0.0,0.0,0.0,0.0,0.0,0.0
60,ACET,Adicet Bio Inc,Biotechnology & Medical Research,0.70,-0.008199999999999999,0.17,-0.53,$57.889M,-1,0,0,0,0,-1.0,1.9,1,-1,-0.008199999999999999,0.17,0.0564,-0.2118,-0.5792,0.86,0.0,0,0.0,0.36,0.0,0.0,-0.5583,-0.4844,0.0,0.0,0.0,0.0,0.0,0.0
61,ADTX,Aditxt Inc,Biotechnology & Medical Research,1.70,-0.0286,-0.21,-1.0,$0.000,-1,0,0,0,0,-1.0,0.0,0,0,-0.0286,-0.21,-0.2575,-0.9098999999999999,-0.9998999999999999,48.23,0.0,0,65.14,0.12,0.0,16.46,-2.3631,-0.8819,0.0,0.0,0.0,0.0,0.0,0.0
62,ANL,Adlai Nortye Ltd (ADR),Biotechnology & Medical Research,1.92,0.0323,-0.07,-0.85,$179.923M,0,0,0,0,0,0.0,2.0,0,0,0.0323,-0.07,-0.0894,-0.10189999999999999,-0.8362,0.69,0.0,0,0.0,2.78,0.0,51.65,-1.0319,-0.5149,0.0,0.0,0.0,0.0,0.0,0.0
63,ADMA,ADMA Biologics Inc,Pharmaceuticals,19.89,-0.0149,-0.1,1.13,$4.748B,0,0,0,1,0,0.0,2.0,1,-1,-0.0149,-0.1,-0.2253,0.2955,0.8637999999999999,1.11,23.67,0,10.34,12.71,22.12,16.26,0.7845,0.48009999999999997,-0.1852,0.4545,0.1912,0.26780000000000004,0.0,0.0
64,ADBE,Adobe Inc,Software & IT Services,413.10,-0.018000000000000002,0.15,-0.14,$176.063B,1,1,1,0,1,1.0,2.0,1,-1,-0.018000000000000002,0.15,0.045700000000000005,-0.06309999999999999,-0.2216,0.92,27.23,1.68419,7.99,13.72,23.13,31.97,0.4728,0.23,0.10529999999999999,0.12279999999999999,0.09,0.0969,0.0,0.0
65,ADSE,Ads-Tec Energy PLC,"Machinery, Equipment & Components",12.89,0.0868,-0.11,0.08,$628.233M,0,0,0,0,0,0.0,3.0,0,-1,0.0868,-0.11,-0.1027,-0.1311,0.0384,0.84,0.0,0,5.67,0.0,0.0,0.0,0.0,-0.7265999999999999,0.0,0.0,0.0,0.0,0.0,0.0
66,ADTN,Adtran Holdings Inc,Communications & Networking,8.03,-0.0086,0.02,0.51,$641.276M,-1,0,0,0,0,-1.0,2.4,1,0,-0.0086,0.02,-0.027000000000000003,-0.2257,0.365,1.52,0.0,0,0.68,4.61,0.0,25.28,-0.6493000000000001,-0.0966,0.0,2.3077,0.1164,0.09119999999999999,0.0,0.0
67,ADVB,Advanced Biomed Inc,Healthcare Providers & Services,1.20,-0.04,-0.36,0.0,$25.968M,0,0,0,0,0,0.0,0.0,0,0,-0.04,-0.36,-0.4366,0.0,0.0,0,0.0,0,0.0,6.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,AEIS,Advanced Energy Industries Inc,"Machinery, Equipment & Components",117.51,0.0046,0.2,0.07,$4.425B,0,0,1,1,0,0.0,2.0,1,-1,0.0046,0.2,0.135,-0.0273,-0.0383,1.85,59.33,0,2.84,3.62,30.94,31.49,0.0636,0.0313,0.41509999999999997,0.2057,0.1331,0.0768,0.0034000000000000002,0.0
69,AFCG,Advanced Flower Capital Inc,Residential & Commercial REITs,4.97,-0.035,-0.1,-0.48,$112.302M,0,0,0,0,0,0.0,2.4,1,-1,-0.035,-0.1,-0.12269999999999999,-0.4028,-0.4727,1.1,4.96,0,2.7,0.56,5.41,30.65,0.08109999999999999,0.052000000000000005,0.0,0.0,0.0,0.0,0.18510000000000001,0.0
70,AMD,Advanced Micro Devices Inc,Semiconductors & Semiconductor Equipment ,114.56,-0.0016,0.17,-0.31,$185.748B,0,1,0,1,0,1.0,2.1,1,-1,-0.0016,0.17,0.1199,0.1082,-0.3831,1.96,83.98,2.30108,6.69,3.2,35.03,6.71,0.039,0.0315,0.1934,0.43799999999999994,0.2268,0.1745,0.0,0.0
71,ADV,Advantage Solutions Inc,Media & Publishing,1.28,0.0323,-0.11,-0.67,$415.119M,0,0,0,0,0,0.0,2.7,1,0,0.0323,-0.11,-0.10300000000000001,-0.503,-0.6686,1.22,0.0,0,0.12,0.57,0.0,70.7,-0.4322,-0.1157,0.0,0.0,0.0,0.0,0.0,0.0
72,ADN,Advent Technologies Holdings Inc,Renewable Energy,2.89,0.2788,0.19,-0.25,$7.621M,0,0,0,0,0,0.0,0.0,0,1,0.2788,0.19,0.40619999999999995,-0.414,-0.2225,0.06,0.0,0,1.29,0.0,0.0,0.0,-7.7166,-1.7848,0.0,0.0,0.0,0.0,0.0,0.0
73,ADVM,Adverum Biotechnologies Inc,Biotechnology & Medical Research,2.27,0.0271,-0.25,-0.72,$47.423M,-1,0,0,0,0,0.0,1.9,1,-1,0.0271,-0.25,-0.34,-0.45640000000000003,-0.7323999999999999,1.13,0.0,0,47.42,1.78,0.0,0.0,-1.4450999999999998,-0.7437999999999999,0.1843,0.35,-0.8420000000000001,0.4304,0.0,0.0
